hz,spread,current_ns,candidate_ns,ratio,max_scalar_simd_error
27.1,false,2.866,2.515,0.878,0.000000137
27.1,true,2.847,2.625,0.922,0.000000137
440.2,false,2.829,2.602,0.919,0.000000129
440.2,true,3.189,3.569,1.119,0.000000129
1000,false,2.974,2.799,0.941,0.000000146
1000,true,3.861,5.286,1.369,0.000000146
2930.4,false,3.122,3.474,1.113,0.000000134
2930.4,true,5.713,7.463,1.306,0.000000134
