variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,2539.6852
baseline,4,0.0001,0,true,2530.9404
baseline,4,0.0001,0.49,false,2541.5244
baseline,4,0.0001,0.49,true,2523.2648
baseline,4,0.0001,4,false,5373.4352
baseline,4,0.0001,4,true,6586.3444
baseline,4,0.01,0,false,3245.268
baseline,4,0.01,0,true,3624.3364
baseline,4,0.01,0.49,false,3359.5444
baseline,4,0.01,0.49,true,4055.376
baseline,4,0.01,4,false,6273.7076
baseline,4,0.01,4,true,6765.4308
baseline,4,0.12,0,false,6445.836
baseline,4,0.12,0,true,6173.7328
baseline,4,0.12,0.49,false,6565.3684
baseline,4,0.12,0.49,true,6755.2476
baseline,4,0.12,4,false,6040.2028
baseline,4,0.12,4,true,6443.0276
baseline,8,0.0001,0,false,4167.6412
baseline,8,0.0001,0,true,5661.3704
baseline,8,0.0001,0.49,false,4233.7212
baseline,8,0.0001,0.49,true,4243.3956
baseline,8,0.0001,4,false,9348.8064
baseline,8,0.0001,4,true,8026.9608
baseline,8,0.01,0,false,6229.1564
baseline,8,0.01,0,true,6676.9412
baseline,8,0.01,0.49,false,6957.8452
baseline,8,0.01,0.49,true,7866.262
baseline,8,0.01,4,false,9510.8432
baseline,8,0.01,4,true,10364.8976
baseline,8,0.12,0,false,11214.3572
baseline,8,0.12,0,true,14920.8616
