variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,315.3149
baseline,4,0.0001,0,true,322.68105
baseline,4,0.0001,0.49,false,316.14715
baseline,4,0.0001,0.49,true,311.05845
baseline,4,0.0001,4,false,623.4951
baseline,4,0.0001,4,true,628.69045
baseline,4,0.01,0,false,401.29435
baseline,4,0.01,0,true,404.14665
baseline,4,0.01,0.49,false,479.8741
baseline,4,0.01,0.49,true,554.8473
baseline,4,0.01,4,false,668.61975
baseline,4,0.01,4,true,993.0069
baseline,4,0.12,0,false,742.1451
baseline,4,0.12,0,true,678.8327
baseline,4,0.12,0.49,false,720.26325
baseline,4,0.12,0.49,true,749.90605
baseline,4,0.12,4,false,728.6329
baseline,4,0.12,4,true,705.61515
baseline,8,0.0001,0,false,504.1768
baseline,8,0.0001,0,true,505.4472
baseline,8,0.0001,0.49,false,514.41525
baseline,8,0.0001,0.49,true,490.4435
baseline,8,0.0001,4,false,844.3948
baseline,8,0.0001,4,true,776.6735
baseline,8,0.01,0,false,858.6609
baseline,8,0.01,0,true,775.1524
baseline,8,0.01,0.49,false,816.92035
baseline,8,0.01,0.49,true,969.66065
baseline,8,0.01,4,false,898.4495
baseline,8,0.01,4,true,851.61325
baseline,8,0.12,0,false,894.44645
baseline,8,0.12,0,true,1002.5378
baseline,8,0.12,0.49,false,911.77515
baseline,8,0.12,0.49,true,1097.3365
baseline,8,0.12,4,false,903.76805
baseline,8,0.12,4,true,863.1126
baseline,16,0.0001,0,false,353.70395
baseline,16,0.0001,0,true,353.90175
baseline,16,0.0001,0.49,false,354.4786
baseline,16,0.0001,0.49,true,361.58785
baseline,16,0.0001,4,false,660.42485
baseline,16,0.0001,4,true,510.07015
baseline,16,0.01,0,false,534.6603
baseline,16,0.01,0,true,519.18395
baseline,16,0.01,0.49,false,732.86685
baseline,16,0.01,0.49,true,884.45185
baseline,16,0.01,4,false,639.69205
baseline,16,0.01,4,true,657.0603
baseline,16,0.12,0,false,637.4066
baseline,16,0.12,0,true,787.8574
baseline,16,0.12,0.49,false,655.9401
baseline,16,0.12,0.49,true,810.079
baseline,16,0.12,4,false,638.5909
baseline,16,0.12,4,true,662.91815
