variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,317.3065
baseline,4,0.0001,0,true,319.961
baseline,4,0.0001,0.49,false,318.87435
baseline,4,0.0001,0.49,true,319.8363
baseline,4,0.0001,4,false,694.27055
baseline,4,0.0001,4,true,726.03355
baseline,4,0.01,0,false,421.38575
baseline,4,0.01,0,true,427.03925
baseline,4,0.01,0.49,false,604.17745
baseline,4,0.01,0.49,true,504.32405
baseline,4,0.01,4,false,723.45665
baseline,4,0.01,4,true,916.9045
baseline,4,0.12,0,false,878.01065
baseline,4,0.12,0,true,933.22815
baseline,4,0.12,0.49,false,737.02065
baseline,4,0.12,0.49,true,798.4495
baseline,4,0.12,4,false,848.8346
baseline,4,0.12,4,true,809.043
baseline,8,0.0001,0,false,649.51195
baseline,8,0.0001,0,true,523.43945
baseline,8,0.0001,0.49,false,521.79495
baseline,8,0.0001,0.49,true,671.41
baseline,8,0.0001,4,false,1176.37855
baseline,8,0.0001,4,true,1016.36025
baseline,8,0.01,0,false,924.2245
baseline,8,0.01,0,true,1066.96015
baseline,8,0.01,0.49,false,1122.0154
baseline,8,0.01,0.49,true,1237.40925
baseline,8,0.01,4,false,1336.27415
baseline,8,0.01,4,true,1279.11075
baseline,8,0.12,0,false,1388.28675
baseline,8,0.12,0,true,1883.8455
baseline,8,0.12,0.49,false,1467.3763
baseline,8,0.12,0.49,true,1821.83785
baseline,8,0.12,4,false,1318.3981
baseline,8,0.12,4,true,1379.4078
baseline,16,0.0001,0,false,586.1672
baseline,16,0.0001,0,true,586.05405
baseline,16,0.0001,0.49,false,588.2664
baseline,16,0.0001,0.49,true,577.442
baseline,16,0.0001,4,false,1125.95185
baseline,16,0.0001,4,true,996.30245
baseline,16,0.01,0,false,889.84955
baseline,16,0.01,0,true,886.18055
baseline,16,0.01,0.49,false,1042.88435
baseline,16,0.01,0.49,true,1263.17365
baseline,16,0.01,4,false,1239.0342
baseline,16,0.01,4,true,1204.78645
baseline,16,0.12,0,false,1276.10975
baseline,16,0.12,0,true,1613.04035
baseline,16,0.12,0.49,false,1274.2159
baseline,16,0.12,0.49,true,1690.6897
baseline,16,0.12,4,false,1265.6184
baseline,16,0.12,4,true,1310.7546
