variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,633.361
candidate,4,0.0001,0,true,629.9058
candidate,4,0.0001,0.49,false,633.7496
candidate,4,0.0001,0.49,true,629.1907
candidate,4,0.0001,4,false,1397.5887
candidate,4,0.0001,4,true,1552.2114
candidate,4,0.01,0,false,844.7704
candidate,4,0.01,0,true,855.2443
candidate,4,0.01,0.49,false,1123.3614
candidate,4,0.01,0.49,true,1073.2987
candidate,4,0.01,4,false,1558.0924
candidate,4,0.01,4,true,1657.9822
candidate,4,0.12,0,false,1457.7917
candidate,4,0.12,0,true,1614.7229
candidate,4,0.12,0.49,false,1729.1799
candidate,4,0.12,0.49,true,1558.1254
candidate,4,0.12,4,false,1514.5075
candidate,4,0.12,4,true,1612.0329
candidate,8,0.0001,0,false,799.0874
candidate,8,0.0001,0,true,802.08
candidate,8,0.0001,0.49,false,1131.0771
candidate,8,0.0001,0.49,true,1098.7202
candidate,8,0.0001,4,false,1472.6992
candidate,8,0.0001,4,true,1297.4885
candidate,8,0.01,0,false,1116.8306
candidate,8,0.01,0,true,1099.4533
candidate,8,0.01,0.49,false,1291.882
candidate,8,0.01,0.49,true,1328.2109
candidate,8,0.01,4,false,1400.7175
candidate,8,0.01,4,true,1419.0923
candidate,8,0.12,0,false,1423.573
candidate,8,0.12,0,true,1402.342
candidate,8,0.12,0.49,false,1394.1225
candidate,8,0.12,0.49,true,1431.42
candidate,8,0.12,4,false,1395.6379
candidate,8,0.12,4,true,1433.485
candidate,16,0.0001,0,false,716.8542
candidate,16,0.0001,0,true,887.7985
candidate,16,0.0001,0.49,false,738.0433
candidate,16,0.0001,0.49,true,735.5595
candidate,16,0.0001,4,false,1109.0438
candidate,16,0.0001,4,true,1096.2895
candidate,16,0.01,0,false,993.2448
candidate,16,0.01,0,true,1039.3124
candidate,16,0.01,0.49,false,1191.5275
candidate,16,0.01,0.49,true,1307.9143
candidate,16,0.01,4,false,1213.9693
candidate,16,0.01,4,true,1221.9504
candidate,16,0.12,0,false,1176.1982
candidate,16,0.12,0,true,1179.357
candidate,16,0.12,0.49,false,1191.4774
candidate,16,0.12,0.49,true,1183.5524
candidate,16,0.12,4,false,1208.9488
candidate,16,0.12,4,true,1182.2644
