variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,3109.026
baseline,4,0.0001,0,true,3183.9912
baseline,4,0.0001,0.49,false,2670.1464
baseline,4,0.0001,0.49,true,2883.8456
baseline,4,0.0001,4,false,6589.8616
baseline,4,0.0001,4,true,6979.7684
baseline,4,0.01,0,false,4349.0752
baseline,4,0.01,0,true,4481.2272
baseline,4,0.01,0.49,false,3869.6032
baseline,4,0.01,0.49,true,3806.792
baseline,4,0.01,4,false,5622.3916
baseline,4,0.01,4,true,8382.0696
baseline,4,0.12,0,false,7755.0304
baseline,4,0.12,0,true,7923.5648
baseline,4,0.12,0.49,false,7304.0008
baseline,4,0.12,0.49,true,7360.8464
baseline,4,0.12,4,false,7126.8488
baseline,4,0.12,4,true,8061.0084
baseline,8,0.0001,0,false,5222.4188
baseline,8,0.0001,0,true,4614.5288
baseline,8,0.0001,0.49,false,5684.0528
baseline,8,0.0001,0.49,true,5132.2028
baseline,8,0.0001,4,false,9530.5972
baseline,8,0.0001,4,true,9826.9608
baseline,8,0.01,0,false,6072.7356
baseline,8,0.01,0,true,8000.2488
baseline,8,0.01,0.49,false,6761.012
baseline,8,0.01,0.49,true,6816.8124
baseline,8,0.01,4,false,10579.0972
baseline,8,0.01,4,true,9910.5752
baseline,8,0.12,0,false,10133.1436
baseline,8,0.12,0,true,14551.3876
baseline,8,0.12,0.49,false,11704.722
baseline,8,0.12,0.49,true,14282.5652
baseline,8,0.12,4,false,11762.3572
baseline,8,0.12,4,true,12543.3456
baseline,16,0.0001,0,false,4587.1672
baseline,16,0.0001,0,true,4612.858
baseline,16,0.0001,0.49,false,4618.5108
baseline,16,0.0001,0.49,true,4667.9212
baseline,16,0.0001,4,false,9423.4872
baseline,16,0.0001,4,true,8291.064
baseline,16,0.01,0,false,6853.0632
baseline,16,0.01,0,true,6763.568
baseline,16,0.01,0.49,false,6965.5612
baseline,16,0.01,0.49,true,8328.9776
baseline,16,0.01,4,false,12228.946
baseline,16,0.01,4,true,9330.5104
baseline,16,0.12,0,false,10174.442
baseline,16,0.12,0,true,12770.5768
baseline,16,0.12,0.49,false,10129.0412
baseline,16,0.12,0.49,true,12547.5156
baseline,16,0.12,4,false,10007.4012
baseline,16,0.12,4,true,11598.8184
