variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,311.21275
candidate,4,0.0001,0,true,307.9178
candidate,4,0.0001,0.49,false,317.05655
candidate,4,0.0001,0.49,true,324.8343
candidate,4,0.0001,4,false,619.99185
candidate,4,0.0001,4,true,606.9186
candidate,4,0.01,0,false,413.13425
candidate,4,0.01,0,true,405.09515
candidate,4,0.01,0.49,false,476.4134
candidate,4,0.01,0.49,true,482.63375
candidate,4,0.01,4,false,635.658
candidate,4,0.01,4,true,635.9284
candidate,4,0.12,0,false,668.402
candidate,4,0.12,0,true,652.16695
candidate,4,0.12,0.49,false,662.7534
candidate,4,0.12,0.49,true,688.91245
candidate,4,0.12,4,false,679.5809
candidate,4,0.12,4,true,713.8997
candidate,8,0.0001,0,false,503.45825
candidate,8,0.0001,0,true,478.6402
candidate,8,0.0001,0.49,false,475.2646
candidate,8,0.0001,0.49,true,476.73985
candidate,8,0.0001,4,false,794.20655
candidate,8,0.0001,4,true,683.7256
candidate,8,0.01,0,false,659.78295
candidate,8,0.01,0,true,659.11195
candidate,8,0.01,0.49,false,818.45925
candidate,8,0.01,0.49,true,958.8403
candidate,8,0.01,4,false,868.04665
candidate,8,0.01,4,true,828.33915
candidate,8,0.12,0,false,887.71985
candidate,8,0.12,0,true,1067.9367
candidate,8,0.12,0.49,false,886.85455
candidate,8,0.12,0.49,true,1072.44855
candidate,8,0.12,4,false,893.5702
candidate,8,0.12,4,true,846.133
candidate,16,0.0001,0,false,353.2768
candidate,16,0.0001,0,true,408.20585
candidate,16,0.0001,0.49,false,410.56785
candidate,16,0.0001,0.49,true,360.1001
candidate,16,0.0001,4,false,583.6594
candidate,16,0.0001,4,true,506.0106
candidate,16,0.01,0,false,634.21635
candidate,16,0.01,0,true,524.6723
candidate,16,0.01,0.49,false,725.5398
candidate,16,0.01,0.49,true,879.77185
candidate,16,0.01,4,false,631.5453
candidate,16,0.01,4,true,654.0007
candidate,16,0.12,0,false,621.12605
candidate,16,0.12,0,true,736.32315
candidate,16,0.12,0.49,false,621.1786
candidate,16,0.12,0.49,true,797.76695
candidate,16,0.12,4,false,727.0671
candidate,16,0.12,4,true,650.68575
