variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,323.5043
baseline,4,0.0001,0,true,315.87625
baseline,4,0.0001,0.49,false,314.2949
baseline,4,0.0001,0.49,true,321.20035
baseline,4,0.0001,4,false,714.70695
baseline,4,0.0001,4,true,643.88945
baseline,4,0.01,0,false,417.76625
baseline,4,0.01,0,true,437.9558
baseline,4,0.01,0.49,false,501.2424
baseline,4,0.01,0.49,true,492.28085
baseline,4,0.01,4,false,686.98905
baseline,4,0.01,4,true,645.271
baseline,4,0.12,0,false,782.8509
baseline,4,0.12,0,true,712.86965
baseline,4,0.12,0.49,false,698.9351
baseline,4,0.12,0.49,true,699.0798
baseline,4,0.12,4,false,709.75145
baseline,4,0.12,4,true,713.91025
baseline,8,0.0001,0,false,549.34505
baseline,8,0.0001,0,true,501.93345
baseline,8,0.0001,0.49,false,482.6648
baseline,8,0.0001,0.49,true,521.4374
baseline,8,0.0001,4,false,847.0264
baseline,8,0.0001,4,true,733.1909
baseline,8,0.01,0,false,715.3554
baseline,8,0.01,0,true,684.6791
baseline,8,0.01,0.49,false,846.67035
baseline,8,0.01,0.49,true,975.8821
baseline,8,0.01,4,false,954.60395
baseline,8,0.01,4,true,863.60995
baseline,8,0.12,0,false,897.39
baseline,8,0.12,0,true,986.9904
baseline,8,0.12,0.49,false,888.467
baseline,8,0.12,0.49,true,1049.98655
baseline,8,0.12,4,false,904.50225
baseline,8,0.12,4,true,867.5654
baseline,16,0.0001,0,false,361.77215
baseline,16,0.0001,0,true,353.52015
baseline,16,0.0001,0.49,false,355.41955
baseline,16,0.0001,0.49,true,357.5673
baseline,16,0.0001,4,false,602.0913
baseline,16,0.0001,4,true,536.9063
baseline,16,0.01,0,false,523.53455
baseline,16,0.01,0,true,515.17795
baseline,16,0.01,0.49,false,748.5751
baseline,16,0.01,0.49,true,880.75685
baseline,16,0.01,4,false,647.09025
baseline,16,0.01,4,true,668.58325
baseline,16,0.12,0,false,641.50685
baseline,16,0.12,0,true,729.54885
baseline,16,0.12,0.49,false,657.4935
baseline,16,0.12,0.49,true,814.69955
baseline,16,0.12,4,false,628.73705
baseline,16,0.12,4,true,643.2044
