variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,379.10135
candidate,4,0.0001,0,true,374.929
candidate,4,0.0001,0.49,false,408.65
candidate,4,0.0001,0.49,true,382.89355
candidate,4,0.0001,4,false,817.7351
candidate,4,0.0001,4,true,821.80875
candidate,4,0.01,0,false,478.0323
candidate,4,0.01,0,true,524.24965
candidate,4,0.01,0.49,false,575.3143
candidate,4,0.01,0.49,true,607.58205
candidate,4,0.01,4,false,851.6819
candidate,4,0.01,4,true,963.9891
candidate,4,0.12,0,false,902.2323
candidate,4,0.12,0,true,829.65865
candidate,4,0.12,0.49,false,814.61185
candidate,4,0.12,0.49,true,929.24565
candidate,4,0.12,4,false,895.7785
candidate,4,0.12,4,true,892.85315
candidate,8,0.0001,0,false,416.37665
candidate,8,0.0001,0,true,418.29455
candidate,8,0.0001,0.49,false,419.66815
candidate,8,0.0001,0.49,true,415.06965
candidate,8,0.0001,4,false,674.99995
candidate,8,0.0001,4,true,668.1576
candidate,8,0.01,0,false,562.2055
candidate,8,0.01,0,true,558.1744
candidate,8,0.01,0.49,false,712.97035
candidate,8,0.01,0.49,true,715.2688
candidate,8,0.01,4,false,705.4149
candidate,8,0.01,4,true,750.87155
candidate,8,0.12,0,false,703.92315
candidate,8,0.12,0,true,714.4866
candidate,8,0.12,0.49,false,710.9603
candidate,8,0.12,0.49,true,712.53615
candidate,8,0.12,4,false,700.88355
