variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,339.496
baseline,4,0.0001,0,true,324.8839
baseline,4,0.0001,0.49,false,325.07215
baseline,4,0.0001,0.49,true,329.6241
baseline,4,0.0001,4,false,707.4675
baseline,4,0.0001,4,true,810.06705
baseline,4,0.01,0,false,517.8069
baseline,4,0.01,0,true,427.42235
baseline,4,0.01,0.49,false,577.8246
baseline,4,0.01,0.49,true,667.0885
baseline,4,0.01,4,false,753.3869
baseline,4,0.01,4,true,892.5722
baseline,4,0.12,0,false,771.326
baseline,4,0.12,0,true,918.55095
baseline,4,0.12,0.49,false,796.3804
baseline,4,0.12,0.49,true,913.39715
baseline,4,0.12,4,false,873.0532
baseline,4,0.12,4,true,904.13565
baseline,8,0.0001,0,false,520.3963
baseline,8,0.0001,0,true,548.64705
baseline,8,0.0001,0.49,false,667.9738
baseline,8,0.0001,0.49,true,599.19345
baseline,8,0.0001,4,false,1337.73185
baseline,8,0.0001,4,true,1209.4585
baseline,8,0.01,0,false,830.0157
baseline,8,0.01,0,true,860.26035
baseline,8,0.01,0.49,false,1073.6468
baseline,8,0.01,0.49,true,1184.52885
baseline,8,0.01,4,false,1306.09255
baseline,8,0.01,4,true,1408.3385
baseline,8,0.12,0,false,1377.3522
baseline,8,0.12,0,true,1735.1068
baseline,8,0.12,0.49,false,1396.2748
baseline,8,0.12,0.49,true,2091.05765
baseline,8,0.12,4,false,1379.9066
baseline,8,0.12,4,true,1600.80935
baseline,16,0.0001,0,false,584.60635
baseline,16,0.0001,0,true,571.78795
baseline,16,0.0001,0.49,false,571.5526
baseline,16,0.0001,0.49,true,574.2888
baseline,16,0.0001,4,false,1133.9444
baseline,16,0.0001,4,true,1004.0882
baseline,16,0.01,0,false,873.13035
baseline,16,0.01,0,true,965.1308
baseline,16,0.01,0.49,false,1050.64555
baseline,16,0.01,0.49,true,1261.0064
baseline,16,0.01,4,false,1325.17085
baseline,16,0.01,4,true,1259.24975
baseline,16,0.12,0,false,1256.71145
baseline,16,0.12,0,true,1655.9652
baseline,16,0.12,0.49,false,1257.2252
baseline,16,0.12,0.49,true,1791.71835
baseline,16,0.12,4,false,1298.27325
baseline,16,0.12,4,true,1329.5575
