variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,371.94805
baseline,4,0.0001,0,true,322.53885
baseline,4,0.0001,0.49,false,320.1252
baseline,4,0.0001,0.49,true,324.44475
baseline,4,0.0001,4,false,685.304
baseline,4,0.0001,4,true,808.5988
baseline,4,0.01,0,false,422.6431
baseline,4,0.01,0,true,496.6294
baseline,4,0.01,0.49,false,491.6574
baseline,4,0.01,0.49,true,505.47275
baseline,4,0.01,4,false,815.2649
baseline,4,0.01,4,true,754.68935
baseline,4,0.12,0,false,727.10315
baseline,4,0.12,0,true,898.8867
baseline,4,0.12,0.49,false,747.95415
baseline,4,0.12,0.49,true,783.7062
baseline,4,0.12,4,false,860.027
baseline,4,0.12,4,true,808.17315
baseline,8,0.0001,0,false,535.64785
baseline,8,0.0001,0,true,517.7844
baseline,8,0.0001,0.49,false,658.8926
baseline,8,0.0001,0.49,true,523.61965
baseline,8,0.0001,4,false,1125.44605
baseline,8,0.0001,4,true,1011.94555
baseline,8,0.01,0,false,942.84565
baseline,8,0.01,0,true,955.50475
baseline,8,0.01,0.49,false,943.5462
baseline,8,0.01,0.49,true,1142.1022
baseline,8,0.01,4,false,1389.37535
baseline,8,0.01,4,true,1333.3497
baseline,8,0.12,0,false,1458.51335
baseline,8,0.12,0,true,1850.24275
baseline,8,0.12,0.49,false,1323.5479
baseline,8,0.12,0.49,true,1942.53515
baseline,8,0.12,4,false,1299.5066
baseline,8,0.12,4,true,1575.79755
baseline,16,0.0001,0,false,568.9677
baseline,16,0.0001,0,true,587.7521
baseline,16,0.0001,0.49,false,577.46655
baseline,16,0.0001,0.49,true,575.35285
baseline,16,0.0001,4,false,1123.2312
baseline,16,0.0001,4,true,1010.90495
baseline,16,0.01,0,false,847.2196
baseline,16,0.01,0,true,903.6825
baseline,16,0.01,0.49,false,1033.59575
baseline,16,0.01,0.49,true,1251.38335
baseline,16,0.01,4,false,1223.63395
baseline,16,0.01,4,true,1194.79385
baseline,16,0.12,0,false,1253.156
baseline,16,0.12,0,true,1611.3838
baseline,16,0.12,0.49,false,1257.21215
baseline,16,0.12,0.49,true,1692.9095
baseline,16,0.12,4,false,1250.8776
baseline,16,0.12,4,true,1353.4466
