variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,317.3104
candidate,4,0.0001,0,true,344.6347
candidate,4,0.0001,0.49,false,368.86435
candidate,4,0.0001,0.49,true,321.50225
candidate,4,0.0001,4,false,620.5188
candidate,4,0.0001,4,true,585.6579
candidate,4,0.01,0,false,393.14705
candidate,4,0.01,0,true,397.93775
candidate,4,0.01,0.49,false,471.903
candidate,4,0.01,0.49,true,468.47885
candidate,4,0.01,4,false,639.6104
candidate,4,0.01,4,true,616.86055
candidate,4,0.12,0,false,641.74565
candidate,4,0.12,0,true,625.79805
candidate,4,0.12,0.49,false,649.6381
candidate,4,0.12,0.49,true,635.2919
candidate,4,0.12,4,false,684.0716
candidate,4,0.12,4,true,652.3451
candidate,8,0.0001,0,false,483.8546
candidate,8,0.0001,0,true,485.66885
candidate,8,0.0001,0.49,false,485.21615
candidate,8,0.0001,0.49,true,488.1696
candidate,8,0.0001,4,false,790.2215
candidate,8,0.0001,4,true,785.85485
candidate,8,0.01,0,false,664.4705
candidate,8,0.01,0,true,662.19905
candidate,8,0.01,0.49,false,829.1648
candidate,8,0.01,0.49,true,818.057
candidate,8,0.01,4,false,853.88065
candidate,8,0.01,4,true,852.3729
candidate,8,0.12,0,false,852.0559
candidate,8,0.12,0,true,848.19505
candidate,8,0.12,0.49,false,853.85215
candidate,8,0.12,0.49,true,849.63825
candidate,8,0.12,4,false,874.02255
candidate,8,0.12,4,true,851.58575
candidate,16,0.0001,0,false,352.0825
candidate,16,0.0001,0,true,356.2152
candidate,16,0.0001,0.49,false,357.7185
candidate,16,0.0001,0.49,true,357.45105
candidate,16,0.0001,4,false,585.54775
candidate,16,0.0001,4,true,498.8668
candidate,16,0.01,0,false,520.24555
candidate,16,0.01,0,true,519.8775
candidate,16,0.01,0.49,false,731.4637
candidate,16,0.01,0.49,true,899.3203
candidate,16,0.01,4,false,642.01505
candidate,16,0.01,4,true,662.9021
candidate,16,0.12,0,false,626.32185
candidate,16,0.12,0,true,736.2399
candidate,16,0.12,0.49,false,627.8046
candidate,16,0.12,0.49,true,811.11555
candidate,16,0.12,4,false,627.2768
candidate,16,0.12,4,true,645.2209
