variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,362.9498
baseline,4,0.0001,0,true,316.9208
baseline,4,0.0001,0.49,false,395.6552
baseline,4,0.0001,0.49,true,319.8512
baseline,4,0.0001,4,false,683.3518
baseline,4,0.0001,4,true,785.5913
baseline,4,0.01,0,false,424.8553
baseline,4,0.01,0,true,427.4187
baseline,4,0.01,0.49,false,515.26795
baseline,4,0.01,0.49,true,504.1451
baseline,4,0.01,4,false,844.4527
baseline,4,0.01,4,true,864.54905
baseline,4,0.12,0,false,834.81815
baseline,4,0.12,0,true,777.111
baseline,4,0.12,0.49,false,736.5983
baseline,4,0.12,0.49,true,777.61475
baseline,4,0.12,4,false,825.66885
baseline,4,0.12,4,true,881.9829
baseline,8,0.0001,0,false,518.6305
baseline,8,0.0001,0,true,517.42865
baseline,8,0.0001,0.49,false,524.75175
baseline,8,0.0001,0.49,true,632.3403
baseline,8,0.0001,4,false,1305.19025
baseline,8,0.0001,4,true,1002.4319
baseline,8,0.01,0,false,799.08715
baseline,8,0.01,0,true,843.48925
baseline,8,0.01,0.49,false,978.8212
baseline,8,0.01,0.49,true,1275.27235
baseline,8,0.01,4,false,1255.23715
baseline,8,0.01,4,true,1418.56135
baseline,8,0.12,0,false,1264.9017
baseline,8,0.12,0,true,1617.8585
baseline,8,0.12,0.49,false,1346.13795
baseline,8,0.12,0.49,true,1609.599
baseline,8,0.12,4,false,1261.137
baseline,8,0.12,4,true,1323.2649
baseline,16,0.0001,0,false,573.24365
baseline,16,0.0001,0,true,605.9791
baseline,16,0.0001,0.49,false,578.1461
baseline,16,0.0001,0.49,true,571.8685
baseline,16,0.0001,4,false,1120.14395
baseline,16,0.0001,4,true,1043.41755
baseline,16,0.01,0,false,859.44705
baseline,16,0.01,0,true,922.97305
baseline,16,0.01,0.49,false,1039.77405
baseline,16,0.01,0.49,true,1275.0505
baseline,16,0.01,4,false,1241.44375
baseline,16,0.01,4,true,1186.2659
baseline,16,0.12,0,false,1286.32255
baseline,16,0.12,0,true,1617.6442
baseline,16,0.12,0.49,false,1246.34415
baseline,16,0.12,0.49,true,1711.40485
baseline,16,0.12,4,false,1289.9065
baseline,16,0.12,4,true,1300.2286
