variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,634.8783
baseline,4,0.0001,0,true,1422.6546
baseline,4,0.0001,0.49,false,632.3896
baseline,4,0.0001,0.49,true,628.2603
baseline,4,0.0001,4,false,1345.0985
baseline,4,0.0001,4,true,1430.7149
baseline,4,0.01,0,false,903.2679
baseline,4,0.01,0,true,917.7227
baseline,4,0.01,0.49,false,983.3518
baseline,4,0.01,0.49,true,1027.6849
baseline,4,0.01,4,false,1848.0554
baseline,4,0.01,4,true,1590.6506
baseline,4,0.12,0,false,1475.3573
baseline,4,0.12,0,true,1566.9747
baseline,4,0.12,0.49,false,1608.8129
baseline,4,0.12,0.49,true,1819.0116
baseline,4,0.12,4,false,1709.6012
baseline,4,0.12,4,true,1799.2287
baseline,8,0.0001,0,false,1035.5227
baseline,8,0.0001,0,true,1036.0946
baseline,8,0.0001,0.49,false,1041.0621
baseline,8,0.0001,0.49,true,1048.0406
baseline,8,0.0001,4,false,2292.7003
baseline,8,0.0001,4,true,2322.1398
baseline,8,0.01,0,false,1963.3726
baseline,8,0.01,0,true,1672.9389
baseline,8,0.01,0.49,false,1867.5539
baseline,8,0.01,0.49,true,2303.5057
baseline,8,0.01,4,false,2503.8083
baseline,8,0.01,4,true,3186.3727
baseline,8,0.12,0,false,2763.5157
baseline,8,0.12,0,true,3882.5767
baseline,8,0.12,0.49,false,2856.6975
baseline,8,0.12,0.49,true,3542.7081
baseline,8,0.12,4,false,2640.1784
baseline,8,0.12,4,true,2597.2595
baseline,16,0.0001,0,false,1134.0646
baseline,16,0.0001,0,true,1133.4176
baseline,16,0.0001,0.49,false,1136.276
baseline,16,0.0001,0.49,true,1147.7663
baseline,16,0.0001,4,false,2253.2838
baseline,16,0.0001,4,true,2001.952
baseline,16,0.01,0,false,1690.9621
baseline,16,0.01,0,true,1749.1579
baseline,16,0.01,0.49,false,1929.5436
baseline,16,0.01,0.49,true,2176.9955
baseline,16,0.01,4,false,2446.9524
baseline,16,0.01,4,true,2401.3966
baseline,16,0.12,0,false,2500.5435
baseline,16,0.12,0,true,3225.5107
baseline,16,0.12,0.49,false,2529.5212
baseline,16,0.12,0.49,true,3351.0124
baseline,16,0.12,4,false,2560.2696
baseline,16,0.12,4,true,2660.1615
