variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,319.16275
baseline,4,0.0001,0,true,315.4096
baseline,4,0.0001,0.49,false,314.24735
baseline,4,0.0001,0.49,true,313.64895
baseline,4,0.0001,4,false,686.38215
baseline,4,0.0001,4,true,624.67035
baseline,4,0.01,0,false,410.4347
baseline,4,0.01,0,true,422.18345
baseline,4,0.01,0.49,false,498.8798
baseline,4,0.01,0.49,true,559.8329
baseline,4,0.01,4,false,682.15325
baseline,4,0.01,4,true,647.3767
baseline,4,0.12,0,false,680.22885
baseline,4,0.12,0,true,651.3507
baseline,4,0.12,0.49,false,682.27745
baseline,4,0.12,0.49,true,664.9092
baseline,4,0.12,4,false,711.59375
baseline,4,0.12,4,true,682.1923
baseline,8,0.0001,0,false,475.00625
baseline,8,0.0001,0,true,472.9867
baseline,8,0.0001,0.49,false,487.5948
baseline,8,0.0001,0.49,true,486.78255
baseline,8,0.0001,4,false,841.76495
baseline,8,0.0001,4,true,692.26305
baseline,8,0.01,0,false,670.5402
baseline,8,0.01,0,true,665.9653
baseline,8,0.01,0.49,false,822.7427
baseline,8,0.01,0.49,true,963.1859
baseline,8,0.01,4,false,896.0054
baseline,8,0.01,4,true,844.67685
baseline,8,0.12,0,false,909.08765
baseline,8,0.12,0,true,982.088
baseline,8,0.12,0.49,false,889.5531
baseline,8,0.12,0.49,true,1071.00635
baseline,8,0.12,4,false,904.9554
baseline,8,0.12,4,true,893.9683
baseline,16,0.0001,0,false,348.14955
baseline,16,0.0001,0,true,347.3849
baseline,16,0.0001,0.49,false,359.4271
baseline,16,0.0001,0.49,true,352.11355
baseline,16,0.0001,4,false,576.6498
baseline,16,0.0001,4,true,503.2264
baseline,16,0.01,0,false,517.95465
baseline,16,0.01,0,true,555.2885
baseline,16,0.01,0.49,false,732.96305
baseline,16,0.01,0.49,true,934.5867
baseline,16,0.01,4,false,646.5495
baseline,16,0.01,4,true,656.3357
baseline,16,0.12,0,false,627.378
baseline,16,0.12,0,true,755.95025
baseline,16,0.12,0.49,false,622.92075
baseline,16,0.12,0.49,true,860.02855
baseline,16,0.12,4,false,681.83325
baseline,16,0.12,4,true,653.4609
