variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,633.7776
candidate,4,0.0001,0,true,639.6796
candidate,4,0.0001,0.49,false,637.0746
candidate,4,0.0001,0.49,true,636.6921
candidate,4,0.0001,4,false,1349.5142
candidate,4,0.0001,4,true,1432.2412
candidate,4,0.01,0,false,993.4482
candidate,4,0.01,0,true,892.2933
candidate,4,0.01,0.49,false,1191.6326
candidate,4,0.01,0.49,true,1060.9091
candidate,4,0.01,4,false,1714.9764
candidate,4,0.01,4,true,1639.8919
candidate,4,0.12,0,false,1598.6677
candidate,4,0.12,0,true,1769.7762
candidate,4,0.12,0.49,false,1476.1415
candidate,4,0.12,0.49,true,1757.4706
candidate,4,0.12,4,false,1516.7278
candidate,4,0.12,4,true,1784.5094
candidate,8,0.0001,0,false,909.8058
candidate,8,0.0001,0,true,804.5286
candidate,8,0.0001,0.49,false,810.7471
candidate,8,0.0001,0.49,true,807.8897
candidate,8,0.0001,4,false,1310.3189
candidate,8,0.0001,4,true,1314.1507
candidate,8,0.01,0,false,1110.462
candidate,8,0.01,0,true,1114.5442
candidate,8,0.01,0.49,false,1289.0318
candidate,8,0.01,0.49,true,1331.7814
candidate,8,0.01,4,false,1403.07
candidate,8,0.01,4,true,1473.5085
candidate,8,0.12,0,false,1474.8215
candidate,8,0.12,0,true,1431.8665
candidate,8,0.12,0.49,false,1416.8439
candidate,8,0.12,0.49,true,1416.7007
candidate,8,0.12,4,false,1553.1158
candidate,8,0.12,4,true,1434.0418
candidate,16,0.0001,0,false,730.1593
candidate,16,0.0001,0,true,734.2735
candidate,16,0.0001,0.49,false,734.0592
candidate,16,0.0001,0.49,true,731.897
candidate,16,0.0001,4,false,1141.2104
candidate,16,0.0001,4,true,1128.1767
candidate,16,0.01,0,false,990.6679
candidate,16,0.01,0,true,1015.9221
candidate,16,0.01,0.49,false,1216.8136
candidate,16,0.01,0.49,true,1262.8241
candidate,16,0.01,4,false,1292.536
candidate,16,0.01,4,true,1241.1254
candidate,16,0.12,0,false,1192.7042
candidate,16,0.12,0,true,1197.2741
candidate,16,0.12,0.49,false,1174.072
candidate,16,0.12,0.49,true,1179.5282
candidate,16,0.12,4,false,1171.406
candidate,16,0.12,4,true,1185.6736
