variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,310.4811
candidate,4,0.0001,0,true,309.7651
candidate,4,0.0001,0.49,false,308.96485
candidate,4,0.0001,0.49,true,309.8186
candidate,4,0.0001,4,false,634.03505
candidate,4,0.0001,4,true,611.54755
candidate,4,0.01,0,false,407.662
candidate,4,0.01,0,true,400.7846
candidate,4,0.01,0.49,false,476.45345
candidate,4,0.01,0.49,true,484.57875
candidate,4,0.01,4,false,658.38285
candidate,4,0.01,4,true,646.6481
candidate,4,0.12,0,false,664.70935
candidate,4,0.12,0,true,673.5833
candidate,4,0.12,0.49,false,683.17725
candidate,4,0.12,0.49,true,663.3098
candidate,4,0.12,4,false,827.03715
candidate,4,0.12,4,true,690.1173
candidate,8,0.0001,0,false,490.5202
candidate,8,0.0001,0,true,480.1625
candidate,8,0.0001,0.49,false,480.9813
candidate,8,0.0001,0.49,true,484.1265
candidate,8,0.0001,4,false,828.15985
candidate,8,0.0001,4,true,699.541
candidate,8,0.01,0,false,672.24975
candidate,8,0.01,0,true,657.60215
candidate,8,0.01,0.49,false,866.3916
candidate,8,0.01,0.49,true,1025.1851
candidate,8,0.01,4,false,944.54475
candidate,8,0.01,4,true,869.19885
candidate,8,0.12,0,false,909.8468
candidate,8,0.12,0,true,981.4545
candidate,8,0.12,0.49,false,890.74645
candidate,8,0.12,0.49,true,1070.31475
candidate,8,0.12,4,false,908.21985
candidate,8,0.12,4,true,861.7556
candidate,16,0.0001,0,false,351.4966
candidate,16,0.0001,0,true,357.4191
candidate,16,0.0001,0.49,false,353.73045
candidate,16,0.0001,0.49,true,354.9969
candidate,16,0.0001,4,false,575.64635
candidate,16,0.0001,4,true,493.07305
candidate,16,0.01,0,false,513.4799
candidate,16,0.01,0,true,506.36665
candidate,16,0.01,0.49,false,719.47665
candidate,16,0.01,0.49,true,873.6962
candidate,16,0.01,4,false,640.3711
candidate,16,0.01,4,true,663.04685
candidate,16,0.12,0,false,625.62235
candidate,16,0.12,0,true,737.90195
candidate,16,0.12,0.49,false,643.5319
candidate,16,0.12,0.49,true,803.6523
candidate,16,0.12,4,false,628.1031
candidate,16,0.12,4,true,665.73845
