frames,parents,incoming,override,round,candidate,ns_block
32,0,1,false,0,0,40.8257
32,0,1,false,0,1,10.380033333333333
32,0,1,false,1,1,10.404066666666667
32,0,1,false,1,0,38.33893333333334
32,0,1,false,2,0,38.277833333333334
32,0,1,false,2,1,10.484166666666667
32,0,1,false,3,1,10.021466666666667
32,0,1,false,3,0,39.03633333333333
32,0,1,false,4,0,38.34396666666667
32,0,1,false,4,1,10.4224
32,0,1,false,5,1,10.1597
32,0,1,false,5,0,38.3436
32,0,1,false,6,0,39.030633333333334
32,0,1,false,6,1,10.947866666666666
32,0,1,false,7,1,10.3206
32,0,1,false,7,0,38.33226666666667
32,0,1,true,0,0,13.017333333333333
32,0,1,true,0,1,12.492566666666667
32,0,1,true,1,1,13.000633333333333
32,0,1,true,1,0,13.7498
32,0,1,true,2,0,13.224333333333334
32,0,1,true,2,1,12.8631
32,0,1,true,3,1,13.386233333333333
32,0,1,true,3,0,13.2657
32,0,1,true,4,0,13.6139
32,0,1,true,4,1,12.760933333333334
32,0,1,true,5,1,12.759633333333333
32,0,1,true,5,0,13.463
32,0,1,true,6,0,16.665166666666668
32,0,1,true,6,1,13.401933333333334
32,0,1,true,7,1,12.864433333333332
32,0,1,true,7,0,13.569166666666666
32,0,4,false,0,0,149.0088
32,0,4,false,0,1,35.66956666666667
32,0,4,false,1,1,38.30586666666667
32,0,4,false,1,0,149.53226666666666
32,0,4,false,2,0,210.1198
32,0,4,false,2,1,39.195233333333334
32,0,4,false,3,1,36.8627
32,0,4,false,3,0,151.16706666666667
32,0,4,false,4,0,152.04473333333334
32,0,4,false,4,1,36.4187
32,0,4,false,5,1,39.81783333333333
32,0,4,false,5,0,151.0509
32,0,4,false,6,0,149.4735
32,0,4,false,6,1,36.91976666666667
32,0,4,false,7,1,36.32853333333333
32,0,4,false,7,0,149.42943333333332
32,0,4,true,0,0,143.845
32,0,4,true,0,1,37.94
32,0,4,true,1,1,36.4534
32,0,4,true,1,0,139.9491
32,0,4,true,2,0,137.58353333333332
32,0,4,true,2,1,37.4095
32,0,4,true,3,1,36.19103333333333
32,0,4,true,3,0,136.4428
32,0,4,true,4,0,135.7124
32,0,4,true,4,1,35.9737
32,0,4,true,5,1,35.66256666666666
32,0,4,true,5,0,137.8379
32,0,4,true,6,0,135.77546666666666
32,0,4,true,6,1,38.65873333333333
32,0,4,true,7,1,35.6809
32,0,4,true,7,0,136.2048
32,1,1,false,0,0,65.63116666666667
32,1,1,false,0,1,11.030666666666667
32,1,1,false,1,1,10.6354
32,1,1,false,1,0,65.08466666666666
32,1,1,false,2,0,65.30333333333333
32,1,1,false,2,1,10.5022
32,1,1,false,3,1,10.8544
32,1,1,false,3,0,64.76286666666667
32,1,1,false,4,0,65.52466666666666
32,1,1,false,4,1,10.300233333333333
32,1,1,false,5,1,10.302566666666667
32,1,1,false,5,0,65.0643
32,1,1,false,6,0,65.17613333333334
32,1,1,false,6,1,10.944566666666667
32,1,1,false,7,1,10.7115
32,1,1,false,7,0,65.298
32,1,1,true,0,0,69.30373333333333
32,1,1,true,0,1,10.2595
32,1,1,true,1,1,10.262166666666667
32,1,1,true,1,0,70.18103333333333
32,1,1,true,2,0,69.4593
32,1,1,true,2,1,10.120966666666666
32,1,1,true,3,1,10.7529
32,1,1,true,3,0,69.3591
32,1,1,true,4,0,69.82046666666666
32,1,1,true,4,1,10.867733333333334
32,1,1,true,5,1,10.351966666666666
32,1,1,true,5,0,69.22526666666667
32,1,1,true,6,0,69.91163333333333
32,1,1,true,6,1,10.998966666666666
32,1,1,true,7,1,10.499533333333334
32,1,1,true,7,0,69.45793333333333
32,1,4,false,0,0,256.8217333333333
32,1,4,false,0,1,36.289833333333334
32,1,4,false,1,1,35.3938
32,1,4,false,1,0,255.14116666666666
32,1,4,false,2,0,261.7168
32,1,4,false,2,1,33.7243
32,1,4,false,3,1,33.8094
32,1,4,false,3,0,255.0203
32,1,4,false,4,0,254.60036666666667
32,1,4,false,4,1,33.9246
32,1,4,false,5,1,34.190333333333335
32,1,4,false,5,0,259.64096666666666
32,1,4,false,6,0,256.9669333333333
32,1,4,false,6,1,33.6822
32,1,4,false,7,1,34.59426666666667
32,1,4,false,7,0,254.80333333333334
32,1,4,true,0,0,272.39456666666666
32,1,4,true,0,1,33.761
32,1,4,true,1,1,35.3237
32,1,4,true,1,0,272.08543333333336
32,1,4,true,2,0,282.7291666666667
32,1,4,true,2,1,36.5983
32,1,4,true,3,1,35.108066666666666
32,1,4,true,3,0,272.9454
32,1,4,true,4,0,272.86193333333335
32,1,4,true,4,1,34.57993333333334
32,1,4,true,5,1,34.4317
32,1,4,true,5,0,280.01276666666666
32,1,4,true,6,0,272.50673333333333
32,1,4,true,6,1,33.994
32,1,4,true,7,1,34.84733333333333
32,1,4,true,7,0,272.9567666666667
32,2,1,false,0,0,87.92953333333334
32,2,1,false,0,1,10.822333333333333
32,2,1,false,1,1,11.061033333333333
32,2,1,false,1,0,87.9392
32,2,1,false,2,0,88.44766666666666
32,2,1,false,2,1,10.5192
32,2,1,false,3,1,10.9058
32,2,1,false,3,0,87.81366666666666
32,2,1,false,4,0,87.88343333333333
32,2,1,false,4,1,10.4124
32,2,1,false,5,1,10.852066666666667
32,2,1,false,5,0,88.0377
32,2,1,false,6,0,88.39423333333333
32,2,1,false,6,1,10.505866666666666
32,2,1,false,7,1,10.4992
32,2,1,false,7,0,87.84806666666667
32,2,1,true,0,0,93.04326666666667
32,2,1,true,0,1,11.030333333333333
32,2,1,true,1,1,11.386533333333333
32,2,1,true,1,0,92.42766666666667
32,2,1,true,2,0,94.24006666666666
32,2,1,true,2,1,10.617033333333334
32,2,1,true,3,1,11.217633333333334
32,2,1,true,3,0,93.04323333333333
32,2,1,true,4,0,92.1843
32,2,1,true,4,1,11.053366666666667
32,2,1,true,5,1,10.6975
32,2,1,true,5,0,99.84753333333333
32,2,1,true,6,0,93.8712
32,2,1,true,6,1,10.966566666666667
32,2,1,true,7,1,13.438633333333334
32,2,1,true,7,0,94.7131
32,2,4,false,0,0,345.7223333333333
32,2,4,false,0,1,36.5609
32,2,4,false,1,1,35.92926666666666
32,2,4,false,1,0,344.7465666666667
32,2,4,false,2,0,353.7284333333333
32,2,4,false,2,1,35.68793333333333
32,2,4,false,3,1,36.4327
32,2,4,false,3,0,355.63433333333336
32,2,4,false,4,0,349.82756666666666
32,2,4,false,4,1,35.4893
32,2,4,false,5,1,35.547066666666666
32,2,4,false,5,0,344.7536
32,2,4,false,6,0,344.80133333333333
32,2,4,false,6,1,35.6155
32,2,4,false,7,1,35.8298
32,2,4,false,7,0,347.70736666666664
32,2,4,true,0,0,375.7350333333333
32,2,4,true,0,1,35.981033333333336
32,2,4,true,1,1,35.408166666666666
32,2,4,true,1,0,367.5346666666667
32,2,4,true,2,0,367.35706666666664
32,2,4,true,2,1,36.61533333333333
32,2,4,true,3,1,37.66223333333333
32,2,4,true,3,0,373.22156666666666
32,2,4,true,4,0,365.1390333333333
32,2,4,true,4,1,36.125233333333334
32,2,4,true,5,1,44.859766666666665
